,fiction_work,film_adaptations,title_book,author_book,year_book,title_film,year_film
540,"The Caine Mutiny(1952),Herman Wouk",The Caine Mutiny Court-Martial(2023)[N 1],The Caine Mutiny,Herman Wouk,1952,The Caine Mutiny Court-Martial,2023
541,"Cal(1983),Bernard MacLaverty",Cal(1984),Cal,Bernard MacLaverty,1983,Cal,1984
542,"Call for the Dead(1961),John le Carré",The Deadly Affair(1966),Call for the Dead,John le Carré,1961,The Deadly Affair,1966
543,"Call Me By Your Name(2007),André Aciman",Call Me By Your Name(2017),Call Me By Your Name,André Aciman,2007,Call Me By Your Name,2017
544,"Call It Treason(1949),George L. Howe",Decision Before Dawn(1951),Call It Treason,George L. Howe,1949,Decision Before Dawn,1951
545,"The Call of the Wild(1903),Jack London",The Call of the Wild(1935),The Call of the Wild,Jack London,1903,The Call of the Wild,1935
546,"The Call of the Wild(1903),Jack London",The Call of the Wild(1972),The Call of the Wild,Jack London,1903,The Call of the Wild,1972
547,"The Call of the Wild(1903),Jack London","The Call of the Wild: Howl, Buck(荒野の叫び声 吠えろバック,Kōya no Sakebigoe: Hoero Bakku)(1981)[N 1]",The Call of the Wild,Jack London,1903,"The Call of the Wild: Howl, Buck",1981
548,"The Call of the Wild(1903),Jack London",The Call of the Wild(1993)[N 1],The Call of the Wild,Jack London,1903,The Call of the Wild,1993
549,"The Call of the Wild(1903),Jack London",The Call of the Wild: Dog of the Yukon(1997),The Call of the Wild,Jack London,1903,The Call of the Wild: Dog of the Yukon,1997
550,"The Call of the Wild(1903),Jack London",Call of the Wild(2009),The Call of the Wild,Jack London,1903,Call of the Wild,2009
551,"The Call of the Wild(1903),Jack London",The Call of the Wild(2020),The Call of the Wild,Jack London,1903,The Call of the Wild,2020
552,"Candy: A Novel of Love and Addiction(1998),Luke Davies",Candy(2006),Candy: A Novel of Love and Addiction,Luke Davies,1998,Candy,2006
553,"The Canterbury Tales(c. 1400),Geoffrey Chaucer",The Canterbury Tales(1972),The Canterbury Tales,Geoffrey Chaucer,,The Canterbury Tales,1972
554,"Canyon Passage(1945),Ernest Haycox",Canyon Passage(1946),Canyon Passage,Ernest Haycox,1945,Canyon Passage,1946
555,"Captain Blood: His Odyssey(1922),Rafael Sabatini",Captain Blood(1924),Captain Blood: His Odyssey,Rafael Sabatini,1922,Captain Blood,1924
556,"Captain Blood: His Odyssey(1922),Rafael Sabatini",Captain Blood(1935),Captain Blood: His Odyssey,Rafael Sabatini,1922,Captain Blood,1935
557,"Captain Blood: His Odyssey(1922),Rafael Sabatini",Fortunes of Captain Blood(1950),Captain Blood: His Odyssey,Rafael Sabatini,1922,Fortunes of Captain Blood,1950
558,"Captain Blood: His Odyssey(1922),Rafael Sabatini",Captain Pirate(1952),Captain Blood: His Odyssey,Rafael Sabatini,1922,Captain Pirate,1952
559,"Captain Blood: His Odyssey(1922),Rafael Sabatini",The Son of Captain Blood(1962),Captain Blood: His Odyssey,Rafael Sabatini,1922,The Son of Captain Blood,1962
560,"Captain Blood: His Odyssey(1922),Rafael Sabatini",Odyssey of Captain Blood(1991),Captain Blood: His Odyssey,Rafael Sabatini,1922,Odyssey of Captain Blood,1991
561,"The Captain's Table(1954),Richard Gordon",The Captain's Table(1959),The Captain's Table,Richard Gordon,1954,The Captain's Table,1959
562,"The Captain's Table(1954),Richard Gordon",The Captain(1971),The Captain's Table,Richard Gordon,1954,The Captain,1971
563,"A Captive in the Land(1962),James Aldridge",A Captive in the Land(1990),A Captive in the Land,James Aldridge,1962,A Captive in the Land,1990
564,"The Card(1911),Arnold Bennett",The Card(1952),The Card,Arnold Bennett,1911,The Card,1952
565,"Careful, He Might Hear You(1963),Sumner Locke Elliott","Careful, He Might Hear You(1983)","Careful, He Might Hear You",Sumner Locke Elliott,1963,"Careful, He Might Hear You",1983
566,"Carlito's Way(1975),Edwin Torres",Carlito's Way(1993)[N 13],Carlito's Way,Edwin Torres,1975,Carlito's Way,1993
567,"Carlito's Way(1975),Edwin Torres",Carlito's Way: Rise to Power(2005)[N 14],Carlito's Way,Edwin Torres,1975,Carlito's Way: Rise to Power,2005
568,"The Carpetbaggers(1961),Harold Robbins",The Carpetbaggers(1964),The Carpetbaggers,Harold Robbins,1961,The Carpetbaggers,1964
569,"The Carpetbaggers(1961),Harold Robbins",Nevada Smith(1964)[N 14],The Carpetbaggers,Harold Robbins,1961,Nevada Smith,1964
570,"The Carpetbaggers(1961),Harold Robbins",Nevada Smith(1975)[N 1][N 15],The Carpetbaggers,Harold Robbins,1961,Nevada Smith,1975
571,"Carrie(1974),Stephen King",Carrie(1976),Carrie,Stephen King,1974,Carrie,1976
572,"Carrie(1974),Stephen King",The Rage: Carrie 2(1998),Carrie,Stephen King,1974,The Rage: Carrie 2,1998
573,"Carrie(1974),Stephen King",Carrie(2002)[N 1],Carrie,Stephen King,1974,Carrie,2002
574,"Carrie(1974),Stephen King",Carrie(2013),Carrie,Stephen King,1974,Carrie,2013
575,"A Case of Need(1968),Michael Crichton[N 16]",The Carey Treatment(1972),A Case of Need,Michael Crichton[N 16],1968,The Carey Treatment,1972
576,"Case File: FBI(1953),Gordon Gordon and Mildred Gordon[N 17]",Down Three Dark Streets(1954),Case File: FBI,Gordon Gordon and Mildred Gordon[N 17],1953,Down Three Dark Streets,1954
577,"Cash McCall(1955),Cameron Hawley",Cash McCall(1960),Cash McCall,Cameron Hawley,1955,Cash McCall,1960
578,"Casino Royale(1953),Ian Fleming",Casino Royale(1967),Casino Royale,Ian Fleming,1953,Casino Royale,1967
579,"Casino Royale(1953),Ian Fleming",Casino Royale(2006),Casino Royale,Ian Fleming,1953,Casino Royale,2006
580,"The Castle(1926),Franz Kafka",The Castle(1968),The Castle,Franz Kafka,1926,The Castle,1968
581,"The Castle(1926),Franz Kafka",The Castle(1994),The Castle,Franz Kafka,1926,The Castle,1994
582,"The Castle(1926),Franz Kafka",The Land Surveyor(Russian:Землемер) (1994),The Castle,Franz Kafka,1926,The Land Surveyor,1994
583,"The Castle(1926),Franz Kafka",The Castle(German:Das Schloß) (1997),The Castle,Franz Kafka,1926,The Castle,1997
584,"Cat Chaser(1982),Elmore Leonard",Cat Chaser(1989),Cat Chaser,Elmore Leonard,1982,Cat Chaser,1989
585,"The Cat That Walked by Himself(1902),Rudyard Kipling",The Cat Who Walked by Herself(1988),The Cat That Walked by Himself,Rudyard Kipling,1902,The Cat Who Walked by Herself,1988
586,"Catch-22(1961),Joseph Heller",Catch-22(1970),Catch-22,Joseph Heller,1961,Catch-22,1970
587,"Catlow(1963),Louis L'Amour",Catlow(1971),Catlow,Louis L'Amour,1963,Catlow,1971
588,"The Caveman's Valentine(1994),George Dawes Green",The Caveman's Valentine(2001),The Caveman's Valentine,George Dawes Green,1994,The Caveman's Valentine,2001
589,"Cell(2006),Stephen King",Cell(2016),Cell,Stephen King,2006,Cell,2016
590,"The Cement Garden(1978),Ian McEwan",The Cement Garden(1993),The Cement Garden,Ian McEwan,1978,The Cement Garden,1993
591,"A Certain Mr. Takahashi(1985),Ann Ireland",The Pianist(1991),A Certain Mr. Takahashi,Ann Ireland,1985,The Pianist,1991
592,"La chair du maître(1997),Dany Laferrière",Heading South(French:Vers le sud) (2005),La chair du maître,Dany Laferrière,1997,Heading South,2005
593,"The Chamber(1994),John Grisham",The Chamber(1996),The Chamber,John Grisham,1994,The Chamber,1996
594,"Charlie and the Chocolate Factory(1964),Roald Dahl",Willy Wonka & the Chocolate Factory(1971),Charlie and the Chocolate Factory,Roald Dahl,1964,Willy Wonka & the Chocolate Factory,1971
595,"Charlie and the Chocolate Factory(1964),Roald Dahl",Charlie and the Chocolate Factory(2005),Charlie and the Chocolate Factory,Roald Dahl,1964,Charlie and the Chocolate Factory,2005
596,"Charlie and the Chocolate Factory(1964),Roald Dahl",Tom and Jerry: Willy Wonka and the Chocolate Factory(2017),Charlie and the Chocolate Factory,Roald Dahl,1964,Tom and Jerry: Willy Wonka and the Chocolate Factory,2017
597,"Charlie and the Chocolate Factory(1964),Roald Dahl",Wonka(2023),Charlie and the Chocolate Factory,Roald Dahl,1964,Wonka,2023
598,"Charlie Chan Carries On(1930),Earl Derr Biggers",Charlie Chan Carries On(1931),Charlie Chan Carries On,Earl Derr Biggers,1930,Charlie Chan Carries On,1931
599,"Charlie Chan Carries On(1930),Earl Derr Biggers",Charlie Chan's Murder Cruise(1940),Charlie Chan Carries On,Earl Derr Biggers,1930,Charlie Chan's Murder Cruise,1940
600,"Charlie M(1977),Brian Freemantle",Charlie Muffin(1979)[N 1],Charlie M,Brian Freemantle,1977,Charlie Muffin,1979
601,"Charlotte Gray(1999),Sebastian Faulks",Charlotte Gray(2001),Charlotte Gray,Sebastian Faulks,1999,Charlotte Gray,2001
602,"Charlotte's Web(1952),E. B. White",Charlotte's Web(1973),Charlotte's Web,E. B. White,1952,Charlotte's Web,1973
603,"Charlotte's Web(1952),E. B. White",Charlotte's Web 2: Wilbur's Great Adventure(2003)[N 4],Charlotte's Web,E. B. White,1952,Charlotte's Web 2: Wilbur's Great Adventure,2003
604,"Charlotte's Web(1952),E. B. White",Charlotte's Web(2006),Charlotte's Web,E. B. White,1952,Charlotte's Web,2006
605,"The Cheetah Girls(1999–2006) (series),Deborah Gregory",The Cheetah Girls(2003)[N 1],The Cheetah Girls,Deborah Gregory,1999–2006,The Cheetah Girls,2003
606,"The Cheetah Girls(1999–2006) (series),Deborah Gregory",The Cheetah Girls 2(2006)[N 1],The Cheetah Girls,Deborah Gregory,1999–2006,The Cheetah Girls 2,2006
607,"The Cheetah Girls(1999–2006) (series),Deborah Gregory",The Cheetah Girls: One World(2008)[N 1],The Cheetah Girls,Deborah Gregory,1999–2006,The Cheetah Girls: One World,2008
608,"The Children of Light(1960), H. L. Lawrence",The Damned(1963),The Children of Light, H. L. Lawrence,1960,The Damned,1963
609,"The Children of Men(1992),P. D. James",Children of Men(2006),The Children of Men,P. D. James,1992,Children of Men,2006
610,"Children of Pleasure(1932), Larry Barretto",The Crash(1932),Children of Pleasure, Larry Barretto,1932,The Crash,1932
611,"The Children of Sanchez(1961),Oscar Lewis",The Children of Sanchez(1978),The Children of Sanchez,Oscar Lewis,1961,The Children of Sanchez,1978
612,"Children of the Covered Wagon(1934),Mary Jane Carr",Westward Ho the Wagons!(1956),Children of the Covered Wagon,Mary Jane Carr,1934,Westward Ho the Wagons!,1956
613,"China Seas(1934),Crosbie Garstin",China Seas(1935),China Seas,Crosbie Garstin,1934,China Seas,1935
614,"The Chinese Parrot(1926),Earl Derr Biggers",The Chinese Parrot(1927),The Chinese Parrot,Earl Derr Biggers,1926,The Chinese Parrot,1927
615,"Chocolat(1999),Joanne Harris",Chocolat(2000),Chocolat,Joanne Harris,1999,Chocolat,2000
616,"The Chocolate War(1974),Robert Cormier",The Chocolate War(1988),The Chocolate War,Robert Cormier,1974,The Chocolate War,1988
617,"Christine(1983),Stephen King",Christine(1983),Christine,Stephen King,1983,Christine,1983
618,"Christmas at Candleshoe(1953),J. I. M. Stewart[N 18]",Candleshoe(1977),Christmas at Candleshoe,J. I. M. Stewart[N 18],1953,Candleshoe,1977
619,"Christmas at Twenty-Nine(2002), Kamato Toshio",Singles(2003),Christmas at Twenty-Nine, Kamato Toshio,2002,Singles,2003
620,"A Christmas Gift(a. k. a.The Melodeon) (1977),Glendon Swarthout",Kelly & Dolly: A Christmas to Remember(1984)[N 1],A Christmas Gift,Glendon Swarthout,1977,Kelly & Dolly: A Christmas to Remember,1984
621,"Christmas Holiday(1939),W. Somerset Maugham",Christmas Holiday(1944),Christmas Holiday,W. Somerset Maugham,1939,Christmas Holiday,1944
622,"The Christmas Shoes(2002),Donna VanLiere",The Christmas Shoes(2002)[N 1],The Christmas Shoes,Donna VanLiere,2002,The Christmas Shoes,2002
623,"The Christmas Shoes(2002),Donna VanLiere",The Christmas Blessing(2005)[N 1],The Christmas Shoes,Donna VanLiere,2002,The Christmas Blessing,2005
624,"The Christmas Shoes(2002),Donna VanLiere",The Christmas Hope(2009)[N 1],The Christmas Shoes,Donna VanLiere,2002,The Christmas Hope,2009
625,"Christopher Strong(1932),Gilbert Frankau",Christopher Strong(1933),Christopher Strong,Gilbert Frankau,1932,Christopher Strong,1933
626,"The Chronicles of Narnia(1950–1956) (series)[N 19],C.S. Lewis","The Lion, the Witch and the Wardrobe(1979)[N 1]",The Chronicles of Narnia,C.S. Lewis,1950–1956,"The Lion, the Witch and the Wardrobe",1979
627,"The Chronicles of Narnia(1950–1956) (series)[N 19],C.S. Lewis","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe(2005)",The Chronicles of Narnia,C.S. Lewis,1950–1956,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
628,"The Chronicles of Narnia(1950–1956) (series)[N 19],C.S. Lewis",The Chronicles of Narnia: Prince Caspian(2008),The Chronicles of Narnia,C.S. Lewis,1950–1956,The Chronicles of Narnia: Prince Caspian,2008
629,"The Chronicles of Narnia(1950–1956) (series)[N 19],C.S. Lewis",The Chronicles of Narnia: The Voyage of the Dawn Treader(2010),The Chronicles of Narnia,C.S. Lewis,1950–1956,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010
630,"The Chronicles of Prydain(1964—1968) (series)[N 20],Lloyd Alexander",The Black Cauldron(1985),The Chronicles of Prydain,Lloyd Alexander,,The Black Cauldron,1985
631,"The Cider House Rules(1985),John Irving",The Cider House Rules(1999),The Cider House Rules,John Irving,1985,The Cider House Rules,1999
632,"Cimarron(1929),Edna Ferber",Cimarron(1931),Cimarron,Edna Ferber,1929,Cimarron,1931
633,"Cimarron(1929),Edna Ferber",Cimarron(1960),Cimarron,Edna Ferber,1929,Cimarron,1960
634,"The Cincinnati Kid(1964),Richard Jessup",The Cincinnati Kid(1965),The Cincinnati Kid,Richard Jessup,1964,The Cincinnati Kid,1965
635,"Cinderella Liberty(1973),Darryl Ponicsan",Cinderella Liberty(1973),Cinderella Liberty,Darryl Ponicsan,1973,Cinderella Liberty,1973
636,"The Circus of Dr. Lao(1935),Charles G. Finney",7 Faces of Dr. Lao(1964),The Circus of Dr. Lao,Charles G. Finney,1935,7 Faces of Dr. Lao,1964
637,"The Citadel(1937),A. J. Cronin",The Citadel(1938),The Citadel,A. J. Cronin,1937,The Citadel,1938
638,"The City of Ember(2003),Jeanne DuPrau",City of Ember(2008),The City of Ember,Jeanne DuPrau,2003,City of Ember,2008
639,"City of God(Portuguese:Cidade de Deus) (1997),Paulo Lins",City of God(2002),City of God,Paulo Lins,1997,City of God,2002
640,"Clair de femme(1977),Romain Gary",Womanlight(1979),Clair de femme,Romain Gary,1977,Womanlight,1979
641,"The Clan of the Cave Bear(1980),Jean Auel",The Clan of the Cave Bear(1986),The Clan of the Cave Bear,Jean Auel,1980,The Clan of the Cave Bear,1986
642,"The Clansman: A Historical Romance of the Ku Klux Klan(1905),Thomas Dixon, Jr.",The Birth of a Nation(1915),The Clansman: A Historical Romance of the Ku Klux Klan, Jr.,1905,The Birth of a Nation,1915
643,"The Clansman: A Historical Romance of the Ku Klux Klan(1905),Thomas Dixon, Jr.",The Fall of a Nation(1916),The Clansman: A Historical Romance of the Ku Klux Klan, Jr.,1905,The Fall of a Nation,1916
644,"Class Reunion(German:Der Abituriententag) (1928),Franz Werfel",Class Reunion(1974)[N 1],Class Reunion,Franz Werfel,1928,Class Reunion,1974
645,"Clean Break(1955),Lionel White",The Killing(1956),Clean Break,Lionel White,1955,The Killing,1956
646,"Clear and Present Danger(1989),Tom Clancy",Clear and Present Danger(1994),Clear and Present Danger,Tom Clancy,1989,Clear and Present Danger,1994
647,"The Client(1993),John Grisham",The Client(1994),The Client,John Grisham,1993,The Client,1994
648,"Clockers(1992),Richard Price",Clockers(1995),Clockers,Richard Price,1992,Clockers,1995
649,"A Clockwork Orange(1962),Anthony Burgess",Vinyl(1965),A Clockwork Orange,Anthony Burgess,1962,Vinyl,1965
650,"A Clockwork Orange(1962),Anthony Burgess",A Clockwork Orange(1971),A Clockwork Orange,Anthony Burgess,1962,A Clockwork Orange,1971
651,"The Club Dumas(Spanish:El Club Dumas) (1993),Arturo Pérez-Reverte",The Ninth Gate(1999),The Club Dumas,Arturo Pérez-Reverte,1993,The Ninth Gate,1999
652,"Cockfighter(1962),Charles Willeford",Cockfighter(1974),Cockfighter,Charles Willeford,1962,Cockfighter,1974
653,"Cocoon(1985), David Saperstein",Cocoon(1985),Cocoon, David Saperstein,1985,Cocoon,1985
654,"Cocoon(1985), David Saperstein",Cocoon: The Return(1988),Cocoon, David Saperstein,1985,Cocoon: The Return,1988
655,"The Code of the West(1934),Zane Grey",Code of the West(1925),The Code of the West,Zane Grey,1934,Code of the West,1925
656,"The Code of the West(1934),Zane Grey",Code of the West(1947),The Code of the West,Zane Grey,1934,Code of the West,1947
657,"Coins in the Fountain(1952),John Hermes Secondari",Three Coins in the Fountain(1954),Coins in the Fountain,John Hermes Secondari,1952,Three Coins in the Fountain,1954
658,"Coins in the Fountain(1952),John Hermes Secondari",The Pleasure Seekers(1964),Coins in the Fountain,John Hermes Secondari,1952,The Pleasure Seekers,1964
659,"Coins in the Fountain(1952),John Hermes Secondari",Coins in the Fountain(1990)[N 1],Coins in the Fountain,John Hermes Secondari,1952,Coins in the Fountain,1990
660,"Cold Mountain(1997),Charles Frazier",Cold Mountain(2003),Cold Mountain,Charles Frazier,1997,Cold Mountain,2003
661,"Colonel Wolodyjowski(Polish:Pan Wołodyjowski) (1888),Henryk Sienkiewicz",Colonel Wolodyjowski(1968),Colonel Wolodyjowski,Henryk Sienkiewicz,1888,Colonel Wolodyjowski,1968
662,"The Color of Money(1984),Walter Tevis",The Color of Money(1986),The Color of Money,Walter Tevis,1984,The Color of Money,1986
663,"The Color Purple(1982),Alice Walker",The Color Purple(1985),The Color Purple,Alice Walker,1982,The Color Purple,1985
664,"The Color Purple(1982),Alice Walker",The Color Purple(2023),The Color Purple,Alice Walker,1982,The Color Purple,2023
665,"The Colors of the Day(1952),Romain Gary",The Man Who Understood Women(1959),The Colors of the Day,Romain Gary,1952,The Man Who Understood Women,1959
666,"Colossus(1966),Dennis Feltham Jones",Colossus: The Forbin Project(1970),Colossus,Dennis Feltham Jones,1966,Colossus: The Forbin Project,1970
667,"The Comedians(1966),Graham Greene",The Comedians(1967),The Comedians,Graham Greene,1966,The Comedians,1967
668,"The Comfort of Strangers(1981),Ian McEwan",The Comfort of Strangers(1990),The Comfort of Strangers,Ian McEwan,1981,The Comfort of Strangers,1990
669,"Compulsion(1956),Meyer Levin",Compulsion(1959),Compulsion,Meyer Levin,1956,Compulsion,1959
670,"Comrade Jacob(1961),David Caute",Winstanley(1975),Comrade Jacob,David Caute,1961,Winstanley,1975
671,"Comrades: A Story of Social Adventure in California(1909),Thomas Dixon, Jr.",Bolshevism on Trial(1919),Comrades: A Story of Social Adventure in California, Jr.,1909,Bolshevism on Trial,1919
672,"The Constant Nymph(1923),Margaret Kennedy",The Constant Nymph(1928),The Constant Nymph,Margaret Kennedy,1923,The Constant Nymph,1928
673,"The Constant Nymph(1923),Margaret Kennedy",The Constant Nymph(1933),The Constant Nymph,Margaret Kennedy,1923,The Constant Nymph,1933
674,"The Constant Nymph(1923),Margaret Kennedy",The Constant Nymph(1943),The Constant Nymph,Margaret Kennedy,1923,The Constant Nymph,1943
675,"Conagher(1968),Louis L'Amour",Conagher(1991)[N 1],Conagher,Louis L'Amour,1968,Conagher,1991
676,"Confessions of a Crap Artist(1975),Philip K. Dick",Barjo(French:Confessions d'un Barjo) (1992),Confessions of a Crap Artist,Philip K. Dick,1975,Barjo,1992
677,"Congo(1980),Michael Crichton",Congo(1995),Congo,Michael Crichton,1980,Congo,1995
678,"A Connecticut Yankee in King Arthur's Court(1889),Mark Twain",A Connecticut Yankee in King Arthur's Court(1921),A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,A Connecticut Yankee in King Arthur's Court,1921
679,"A Connecticut Yankee in King Arthur's Court(1889),Mark Twain",A Connecticut Yankee(1931),A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,A Connecticut Yankee,1931
680,"A Connecticut Yankee in King Arthur's Court(1889),Mark Twain",A Connecticut Yankee in King Arthur's Court(1949),A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,A Connecticut Yankee in King Arthur's Court,1949
681,"A Connecticut Yankee in King Arthur's Court(1889),Mark Twain",Un español en la corte del rey Arturo(1964),A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,Un español en la corte del rey Arturo,1964
682,"A Connecticut Yankee in King Arthur's Court(1889),Mark Twain",A Connecticut Yankee in King Arthur's Court(1970)[N 1],A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,A Connecticut Yankee in King Arthur's Court,1970
683,"A Connecticut Yankee in King Arthur's Court(1889),Mark Twain",Unidentified Flying Oddball(1979),A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,Unidentified Flying Oddball,1979
684,"A Connecticut Yankee in King Arthur's Court(1889),Mark Twain",Novye priklyucheniya yanki pri dvore korolya Artura(Russian:Новые приключения янки при дворе короля Артура) (1988),A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,Novye priklyucheniya yanki pri dvore korolya Artura,1988
685,"A Connecticut Yankee in King Arthur's Court(1889),Mark Twain",A Connecticut Yankee in King Arthur's Court(1989) (TV),A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,A Connecticut Yankee in King Arthur's Court,1989
686,"A Connecticut Yankee in King Arthur's Court(1889),Mark Twain",A Kid in King Arthur's Court(1995),A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,A Kid in King Arthur's Court,1995
687,"A Connecticut Yankee in King Arthur's Court(1889),Mark Twain",A Young Connecticut Yankee in King Arthur's Court(1995)[N 1],A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,A Young Connecticut Yankee in King Arthur's Court,1995
688,"A Connecticut Yankee in King Arthur's Court(1889),Mark Twain",A Kid in Aladdin's Palace(1998)[N 1],A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,A Kid in Aladdin's Palace,1998
689,"A Connecticut Yankee in King Arthur's Court(1889),Mark Twain",A Knight in Camelot(1998)[N 1],A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,A Knight in Camelot,1998
690,"A Connecticut Yankee in King Arthur's Court(1889),Mark Twain",Black Knight(2001),A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,Black Knight,2001
691,"The Constant Gardener(2001),John le Carré",The Constant Gardener(2005),The Constant Gardener,John le Carré,2001,The Constant Gardener,2005
692,"Contact(1985),Carl Sagan",Contact(1997),Contact,Carl Sagan,1985,Contact,1997
693,"Cool Hand Luke(1965),Donn Pearce",Cool Hand Luke(1967),Cool Hand Luke,Donn Pearce,1965,Cool Hand Luke,1967
694,"Cops and Robbers(1972),Donald E. Westlake",Cops and Robbers(1973),Cops and Robbers,Donald E. Westlake,1972,Cops and Robbers,1973
695,"Coroner Creek(1945),Luke Short",Coroner Creek(1948),Coroner Creek,Luke Short,1945,Coroner Creek,1948
696,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Count of Monte Cristo(1913),The Count of Monte Cristo, père,1844–1846,The Count of Monte Cristo,1913
697,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",Monte Cristo(1922),The Count of Monte Cristo, père,1844–1846,Monte Cristo,1922
698,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",Monte Cristo(1929),The Count of Monte Cristo, père,1844–1846,Monte Cristo,1929
699,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Count of Monte Cristo(1934),The Count of Monte Cristo, père,1844–1846,The Count of Monte Cristo,1934
700,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Son of Monte Cristo(1940),The Count of Monte Cristo, père,1844–1846,The Son of Monte Cristo,1940
701,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Count of Monte Cristo(1943),The Count of Monte Cristo, père,1844–1846,The Count of Monte Cristo,1943
702,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Wife of Monte Cristo(1946),The Count of Monte Cristo, père,1844–1846,The Wife of Monte Cristo,1946
703,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Return of Monte Cristo(1946),The Count of Monte Cristo, père,1844–1846,The Return of Monte Cristo,1946
704,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",Treasure of Monte Cristo(1949),The Count of Monte Cristo, père,1844–1846,Treasure of Monte Cristo,1949
705,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Sword of Monte Cristo(1951),The Count of Monte Cristo, père,1844–1846,The Sword of Monte Cristo,1951
706,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Count of Monte Cristo(Spanish:El Conde de Montecristo) (1953),The Count of Monte Cristo, père,1844–1846,The Count of Monte Cristo,1953
707,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Count of Monte Cristo(1954),The Count of Monte Cristo, père,1844–1846,The Count of Monte Cristo,1954
708,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Count of Monte Cristo(1961),The Count of Monte Cristo, père,1844–1846,The Count of Monte Cristo,1961
709,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Treasure of Monte Cristo(1961),The Count of Monte Cristo, père,1844–1846,The Treasure of Monte Cristo,1961
710,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Return of Monte Cristo(French:Sous le signe de Monte-Cristo) (1968),The Count of Monte Cristo, père,1844–1846,The Return of Monte Cristo,1968
711,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Count of Monte Cristo(1973)[N 1],The Count of Monte Cristo, père,1844–1846,The Count of Monte Cristo,1973
712,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Count of Monte Cristo(1975)[N 1],The Count of Monte Cristo, père,1844–1846,The Count of Monte Cristo,1975
713,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",Padayottam(1982),The Count of Monte Cristo, père,1844–1846,Padayottam,1982
714,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",Veta(1986),The Count of Monte Cristo, père,1844–1846,Veta,1986
715,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Prisoner of Château d'If(Russian:Узник замка Иф) (1988),The Count of Monte Cristo, père,1844–1846,The Prisoner of Château d'If,1988
716,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Count of Monte-Cristo(1992)[N 4],The Count of Monte Cristo, père,1844–1846,The Count of Monte-Cristo,1992
717,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Count of Monte Cristo(1997)[N 1],The Count of Monte Cristo, père,1844–1846,The Count of Monte Cristo,1997
718,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Count of Monte Cristo(2002),The Count of Monte Cristo, père,1844–1846,The Count of Monte Cristo,2002
